image,caption
1861903620333890097.jpg,you can be whatever size you are  and you can be beautiful both inside and out    serena   what is your s   mines is first day of school         i
1453987990896372228.jpg,night deux
1532896425460868252.jpg,basic
1894590237624402780.jpg,these two all i said was  say cheese      hubs shirt         justice dress        fabric
1982163794813617935.jpg,l a you n d r y   i swear it is never ending in our house ha ha  i snagged this cute sign at  for          do you have a set day of the week you do laundry
1597399211828939528.jpg,how do i get the  handle  thanks
1896131222422638922.jpg,just another girl at the pumpkin patch to add to you are feed  lol    belted skirt
1915002315820438966.jpg,i hate cold weather cos now i am sick  i want weather cold enough to wear jackets but warm enough to wear shorts     jacket
1932402984197870723.jpg,am i the only one who has not started christmas shopping yet   bodysuit   heels
1950515310587322373.jpg,hey     bodysuit   jacket from
1983132423101570999.jpg,hello i hope everyone is having a gr  tuesday     dress
1983843939153064883.jpg,can it stop raining already i really do not own any warm clothes    denim
1986743527677371029.jpg,i want to get a new tattoo and piercing someone stop me before it is too late     top
1991088727963101031.jpg,i do not know what is brighter my future or my shirt     top
1764063918025964276.jpg,portraits   me myself and i ich darf a mal  danke
1764359200072601386.jpg,portraits   marina enjoy your time
1841305389715844526.jpg,portraits marina sun is coming in
1847914881618508046.jpg,portraits   markus it is my fuckin ball game
1919628818009920329.jpg,cinematic portraits   the woman from the woods  ii
1923369505004024312.jpg,cinematic portraits   enjoy the cold
1937282075494695420.jpg,cinematic portraits   sin
1995667269620110977.jpg,portraits   skater boyz
2014553492644305083.jpg,the look
1944637519212427668.jpg,happy friday friends   i am pretty excited because  confusion my hair is fading like cotton candy  ty    and  confusion i just touched down in vegas to end      right   top   via  pants   jacket
1996879168965359248.jpg,rip rip hurray  i ripped my dress this day  guess it is a sign that i need to stop eating so many noodles
2000984848479473937.jpg,if skittles were a place  they would totally be batu caves  and if i were a skittle  i would def be the orange one because i come out so orange in pics   what is your favorite skittle flavor
2012110008783551791.jpg,there is nothing like being on vaca and still having to file taxes   pretty hanoi ed that they took me a whole   hrs and on top of it i are not even getting a refund
2015664393157356791.jpg,excuse me waiter  i pink i am gna need another mango smoothie  yup i am that person who goes to the bar and orders a mango smoothie     wearing  dress    heels
1580494304261003313.jpg,nice sunday everybody   i enjoy my coffee ordered from
1650984977831003257.jpg,red   black one of my favorite combos  love my new pants from   nice evening everybody
1664020318699643158.jpg,warm yourself up with the cinnamon flavour   go and get yours  i already did it
1759622742191261190.jpg,received my hair growth program  to help my hair to grow as healthy as possible     use my code  chrissy    for     discount   try it out
1907440363337991325.jpg,one thing i discovered for sure while visiting the tara donavon field work exhibit  is that i definitely lack the patience it takes to be an artist
2004146707721379075.jpg,happy spring
2013245423485116422.jpg,festival season is around the corner
1827172359216359726.jpg,there is no beauty without strangeness        fit
1699754213506307148.jpg,wednesday s fit   discount code  allison  
1838765575410308312.jpg,   weeks with my second babe  thankful for  making me feel fabulous in my jumpsuit
1996874526398532609.jpg,took strewn out for a stroll today
1817670140771674030.jpg,dna braids  i wanted to try something new  how fun are these       used  platinum silkening gloss to smooth out hair before braiding
1830723652673630256.jpg,flower crown anyone      used  frizz control styling spray prior to braiding
1832163108647849742.jpg,throw  thursday to this updo that just got me nominated in  one shot upstyling category    textured chignon with fishtails   some pops of peach    hair pin from
1841506619301976775.jpg,here it is    my final entry for  best of the fest contest  what do you think    if you like it please vote for me  link is in bio help me win  thank you for your support
